sample_id,parent_scene_id,region,channels,height,width,val_min,val_max,val_mean,val_std,has_oil,has_lookalike,oil_pixels,lookalike_pixels,oil_ratio,lookalike_ratio
patch_0001,S1A_IW_GRDH_1SDV_20260301_SCENE_01,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,113.06,42.54,True,False,9557,0,0.1458,0.0000
patch_0002,S1A_IW_GRDH_1SDV_20260301_SCENE_01,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,115.49,39.11,True,False,2182,0,0.0333,0.0000
patch_0003,S1A_IW_GRDH_1SDV_20260301_SCENE_01,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,125.66,44.71,True,False,3281,0,0.0501,0.0000
patch_0004,S1A_IW_GRDH_1SDV_20260301_SCENE_01,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,120.06,44.04,True,True,3366,11087,0.0514,0.1692
patch_0005,S1A_IW_GRDH_1SDV_20260301_SCENE_01,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,127.27,45.81,True,True,3776,1770,0.0576,0.0270
patch_0006,S1A_IW_GRDH_1SDV_20260301_SCENE_01,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,113.67,43.66,False,True,0,20714,0.0000,0.3161
patch_0007,S1A_IW_GRDH_1SDV_20260301_SCENE_01,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,108.51,37.20,False,True,0,24508,0.0000,0.3740
patch_0008,S1A_IW_GRDH_1SDV_20260301_SCENE_01,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,132.39,46.76,False,True,0,2326,0.0000,0.0355
patch_0009,S1A_IW_GRDH_1SDV_20260301_SCENE_01,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,123.61,42.88,False,False,0,0,0.0000,0.0000
patch_0010,S1A_IW_GRDH_1SDV_20260301_SCENE_01,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,121.89,40.34,False,False,0,0,0.0000,0.0000
patch_0011,S1A_IW_GRDH_1SDV_20260301_SCENE_02,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,108.74,33.39,True,False,3778,0,0.0576,0.0000
patch_0012,S1A_IW_GRDH_1SDV_20260301_SCENE_02,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,113.74,33.34,True,False,2436,0,0.0372,0.0000
patch_0013,S1A_IW_GRDH_1SDV_20260301_SCENE_02,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,131.53,52.00,True,False,3382,0,0.0516,0.0000
patch_0014,S1A_IW_GRDH_1SDV_20260301_SCENE_02,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,104.08,44.76,True,True,5262,17790,0.0803,0.2715
patch_0015,S1A_IW_GRDH_1SDV_20260301_SCENE_02,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,125.72,42.00,True,True,5915,1894,0.0903,0.0289
patch_0016,S1A_IW_GRDH_1SDV_20260301_SCENE_02,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,115.35,45.59,False,True,0,19955,0.0000,0.3045
patch_0017,S1A_IW_GRDH_1SDV_20260301_SCENE_02,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,115.27,40.45,False,True,0,12273,0.0000,0.1873
patch_0018,S1A_IW_GRDH_1SDV_20260301_SCENE_02,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,110.38,30.80,False,True,0,2910,0.0000,0.0444
patch_0019,S1A_IW_GRDH_1SDV_20260301_SCENE_02,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,124.74,37.06,False,False,0,0,0.0000,0.0000
patch_0020,S1A_IW_GRDH_1SDV_20260301_SCENE_02,Arabian_Sea_Mumbai_High,3,256,256,0.00,255.00,131.47,36.29,False,False,0,0,0.0000,0.0000
patch_0021,S1A_IW_GRDH_1SDV_20260302_SCENE_03,Arabian_Sea_Goa_Coast,3,256,256,0.00,255.00,112.93,33.00,True,False,3547,0,0.0541,0.0000
patch_0022,S1A_IW_GRDH_1SDV_20260302_SCENE_03,Arabian_Sea_Goa_Coast,3,256,256,0.00,255.00,126.84,43.63,True,False,1894,0,0.0289,0.0000
patch_0023,S1A_IW_GRDH_1SDV_20260302_SCENE_03,Arabian_Sea_Goa_Coast,3,256,256,0.00,255.00,128.31,40.56,True,False,3977,0,0.0607,0.0000
patch_0024,S1A_IW_GRDH_1SDV_20260302_SCENE_03,Arabian_Sea_Goa_Coast,3,256,256,0.00,255.00,124.47,39.55,True,True,3488,7968,0.0532,0.1216
patch_0025,S1A_IW_GRDH_1SDV_20260302_SCENE_03,Arabian_Sea_Goa_Coast,3,256,256,0.00,255.00,108.38,32.97,True,True,4057,1694,0.0619,0.0258
patch_0026,S1A_IW_GRDH_1SDV_20260302_SCENE_03,Arabian_Sea_Goa_Coast,3,256,256,0.00,255.00,114.03,43.15,False,True,0,22091,0.0000,0.3371
patch_0027,S1A_IW_GRDH_1SDV_20260302_SCENE_03,Arabian_Sea_Goa_Coast,3,256,256,0.00,255.00,111.79,31.81,False,True,0,9313,0.0000,0.1421
patch_0028,S1A_IW_GRDH_1SDV_20260302_SCENE_03,Arabian_Sea_Goa_Coast,3,256,256,0.00,255.00,132.33,47.66,False,True,0,2877,0.0000,0.0439
patch_0029,S1A_IW_GRDH_1SDV_20260302_SCENE_03,Arabian_Sea_Goa_Coast,3,256,256,0.00,255.00,122.19,32.22,False,False,0,0,0.0000,0.0000
patch_0030,S1A_IW_GRDH_1SDV_20260302_SCENE_03,Arabian_Sea_Goa_Coast,3,256,256,0.00,255.00,122.40,43.08,False,False,0,0,0.0000,0.0000
patch_0031,S1A_IW_GRDH_1SDV_20260302_SCENE_04,Arabian_Sea_Gujarat_Gulf,3,256,256,0.00,255.00,126.65,53.00,True,False,6953,0,0.1061,0.0000
patch_0032,S1A_IW_GRDH_1SDV_20260302_SCENE_04,Arabian_Sea_Gujarat_Gulf,3,256,256,0.00,255.00,112.98,33.76,True,False,2245,0,0.0343,0.0000
patch_0033,S1A_IW_GRDH_1SDV_20260302_SCENE_04,Arabian_Sea_Gujarat_Gulf,3,256,256,0.00,255.00,124.65,48.67,True,False,5859,0,0.0894,0.0000
patch_0034,S1A_IW_GRDH_1SDV_20260302_SCENE_04,Arabian_Sea_Gujarat_Gulf,3,256,256,0.00,255.00,110.31,41.26,True,True,3380,13978,0.0516,0.2133
patch_0035,S1A_IW_GRDH_1SDV_20260302_SCENE_04,Arabian_Sea_Gujarat_Gulf,3,256,256,0.00,255.00,125.70,46.87,True,True,8639,1332,0.1318,0.0203
patch_0036,S1A_IW_GRDH_1SDV_20260302_SCENE_04,Arabian_Sea_Gujarat_Gulf,3,256,256,0.00,255.00,110.17,43.04,False,True,0,20571,0.0000,0.3139
patch_0037,S1A_IW_GRDH_1SDV_20260302_SCENE_04,Arabian_Sea_Gujarat_Gulf,3,256,256,0.00,255.00,107.92,32.40,False,True,0,23061,0.0000,0.3519
patch_0038,S1A_IW_GRDH_1SDV_20260302_SCENE_04,Arabian_Sea_Gujarat_Gulf,3,256,256,0.00,255.00,109.99,30.42,False,True,0,2283,0.0000,0.0348
patch_0039,S1A_IW_GRDH_1SDV_20260302_SCENE_04,Arabian_Sea_Gujarat_Gulf,3,256,256,0.00,255.00,121.59,36.53,False,False,0,0,0.0000,0.0000
patch_0040,S1A_IW_GRDH_1SDV_20260302_SCENE_04,Arabian_Sea_Gujarat_Gulf,3,256,256,0.00,255.00,133.50,48.30,False,False,0,0,0.0000,0.0000
patch_0041,S1A_IW_GRDH_1SDV_20260303_SCENE_05,Gulf_of_Oman_Entrance,3,256,256,0.00,255.00,121.26,37.16,True,False,3954,0,0.0603,0.0000
patch_0042,S1A_IW_GRDH_1SDV_20260303_SCENE_05,Gulf_of_Oman_Entrance,3,256,256,0.00,255.00,114.30,33.33,True,False,3151,0,0.0481,0.0000
patch_0043,S1A_IW_GRDH_1SDV_20260303_SCENE_05,Gulf_of_Oman_Entrance,3,256,256,0.00,255.00,116.25,38.90,True,False,6976,0,0.1064,0.0000
patch_0044,S1A_IW_GRDH_1SDV_20260303_SCENE_05,Gulf_of_Oman_Entrance,3,256,256,0.00,255.00,124.89,53.09,True,True,7422,7485,0.1133,0.1142
patch_0045,S1A_IW_GRDH_1SDV_20260303_SCENE_05,Gulf_of_Oman_Entrance,3,256,256,0.00,255.00,110.99,33.93,True,True,1510,2551,0.0230,0.0389
patch_0046,S1A_IW_GRDH_1SDV_20260303_SCENE_05,Gulf_of_Oman_Entrance,3,256,256,0.00,255.00,124.66,47.08,False,True,0,18964,0.0000,0.2894
patch_0047,S1A_IW_GRDH_1SDV_20260303_SCENE_05,Gulf_of_Oman_Entrance,3,256,256,0.00,255.00,106.67,31.81,False,True,0,13517,0.0000,0.2063
patch_0048,S1A_IW_GRDH_1SDV_20260303_SCENE_05,Gulf_of_Oman_Entrance,3,256,256,0.00,255.00,121.63,34.94,False,True,0,1862,0.0000,0.0284
patch_0049,S1A_IW_GRDH_1SDV_20260303_SCENE_05,Gulf_of_Oman_Entrance,3,256,256,0.00,255.00,131.42,45.11,False,False,0,0,0.0000,0.0000
